Incident energy;σ(E)
19.50771;2.922599
19.50971;2.915897
19.51171;2.909187
19.5137;2.902503
19.5165;2.893089
19.5193;2.883659
19.5221;2.8742
19.5235;2.869453
19.5249;2.864692
19.5263;2.859914
19.5277;2.855122
19.5305;2.845503
19.5333;2.835853
19.5361;2.826187
19.53792;2.819897
19.53973;2.813635
19.54154;2.807367
19.54335;2.801093
19.54698;2.788487
19.5506;2.775883
19.55423;2.763209
19.55785;2.750533
19.5651;2.725035
19.57235;2.699382
19.5796;2.673573
19.59409;2.621517
19.62309;2.515405
19.65208;2.406733
19.71007;2.181488
19.76805;1.945868
19.82604;1.700249
19.88403;1.445778
19.94202;1.184596
20.0;0.9205365
20.05347;0.6799112
20.10693;0.4504693
20.13366;0.3437598
20.16039;0.2452811
20.17376;0.1999916
20.18712;0.1579402
20.20049;0.1195542
20.20717;0.1019314
20.21385;0.08544505
20.22054;0.07015396
20.22722;0.05619007
20.23391;0.04360358
20.24059;0.03253002
20.24394;0.02757126
20.24728;0.02304084
20.25062;0.01893749
20.25396;0.0152758
20.2573;0.01207084
20.26064;0.009338209
20.26398;0.007094
20.26732;0.005354859
20.27067;0.004135148
20.27401;0.003459979
20.27735;0.00334331
20.28069;0.00380416
20.28403;0.004862193
20.28737;0.006537752
20.29071;0.008851879
20.29405;0.01182634
20.2974;0.01549567
20.30074;0.01986132
20.30408;0.02495735
20.30742;0.03080873
20.31076;0.03744132
20.3141;0.04488191
20.31744;0.05315821
20.32078;0.06229895
20.32413;0.0723653
20.32747;0.08332807
20.33081;0.0952479
20.33415;0.1081579
20.34083;0.137087
20.34751;0.1704053
20.3542;0.2084854
20.36088;0.2515496
20.36756;0.300013
20.37424;0.3542654
20.38093;0.4148228
20.38761;0.4819587
20.39429;0.5562497
20.40097;0.6382262
20.40766;0.7286041
20.41434;0.8277361
20.42102;0.9364258
20.4277;1.055405
20.43439;1.185674
20.44107;1.327708
20.45444;1.651749
20.46781;2.036158
20.48117;2.490866
20.49454;3.028904
20.5079;3.664351
20.52127;4.416232
20.53463;5.305465
20.548;6.360497
20.56136;7.613286
20.57473;9.107594
20.58809;10.89385
20.60146;13.04169
20.61482;15.6338
20.62819;18.78564
20.64155;22.63907
20.64824;24.89184
20.65492;27.39541
20.66161;30.19275
20.66829;33.31701
20.67498;36.82658
20.68166;40.76892
20.68834;45.21793
20.69502;50.25616
20.70171;55.99222
20.70839;62.52978
20.71507;70.02423
20.72175;78.65698
20.72844;88.66921
20.73512;100.3132
20.7418;113.9591
20.74848;130.0623
20.75517;149.2423
20.76185;172.2133
20.76853;200.0242
20.77521;234.054
20.7819;276.2644
20.78524;301.1723
20.78858;329.1778
20.79192;360.7918
20.79526;396.6312
20.7986;437.4467
20.80194;484.1577
20.80529;538.0716
20.80863;600.281
20.81197;672.7051
20.81531;757.5816
20.81865;857.7652
20.82199;976.9326
20.82533;1119.864
20.82867;1292.832
20.83202;1504.847
20.83536;1765.761
20.8387;2091.031
20.84037;2283.8
20.84204;2500.626
20.84371;2745.048
20.84538;3021.103
20.84705;3333.347
20.84872;3686.826
20.85039;4086.986
20.85206;4539.442
20.85373;5049.567
20.8554;5621.776
20.85745;6412.205
20.8595;7295.524
20.8636;9242.673
20.86565;10195.83
20.8677;11016.94
20.86975;11600.04
20.8718;11857.41
20.87385;11750.73
20.8759;11305.84
20.87795;10601.17
20.88;9738.258
20.8841;7896.295
20.88615;7035.356
20.8882;6253.116
20.88982;5696.178
20.89143;5195.949
20.89305;4743.56
20.89466;4340.811
20.89628;3978.391
20.89789;3656.429
20.90111;3110.495
20.90434;2670.132
20.90756;2314.436
20.91079;2022.772
20.91401;1782.903
20.91724;1582.584
20.92047;1414.39
20.9237;1271.988
20.92692;1150.824
20.93015;1046.329
20.93337;956.1579
20.9366;877.3667
20.93982;808.5427
20.94305;747.7194
20.94628;693.8702
20.95273;603.2932
20.95918;530.3818
20.96563;470.8012
20.97208;421.465
20.97853;380.1298
20.98498;345.1341
20.99143;315.227
20.99789;289.4151
21.00434;267.0367
21.01079;247.4677
21.01724;230.2471
21.0237;214.9831
21.03015;201.4235
21.04305;178.4088
21.05596;159.6787
21.06886;144.2277
21.08176;131.3023
21.09466;120.3642
21.10757;111.0062
21.12047;102.9395
21.13338;95.91812
21.14628;89.77108
21.15919;84.34523
21.17209;79.53441
21.18499;75.24179
21.19789;71.39214
21.2237;64.78292
21.24951;59.33063
21.27532;54.76806
21.30112;50.90374
21.32693;47.59247
21.35274;44.72893
21.37855;42.23133
21.40435;40.037
21.43016;38.09432
21.45597;36.36441
21.48178;34.81524
21.50758;33.42129
21.53339;32.16009
21.5592;31.0145
21.61081;29.01385
21.66242;27.32647
21.71403;25.88562
21.76565;24.64173
21.81726;23.55806
21.86888;22.60566
21.92049;21.76264
21.97211;21.01113
22.02372;20.33737
22.07533;19.72986
22.12694;19.17933
22.17856;18.67805
22.23017;18.21987
22.28179;17.79929
22.3334;17.41198
22.43663;16.72219
22.53985;16.12615
22.64308;15.60559
22.74631;15.14675
22.84954;14.73898
22.95277;14.3739
23.056;14.04485
23.15923;13.74648
23.26246;13.47442
23.36568;13.22513
