Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75
46,0.5,0.392398,0.313993,0.251231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9524E-20,1.90599E-16,7.95805E-16,4.44625E-15,2.4031E-14,1.2562E-13,5.9035E-13,2.53494E-12,1.07943E-11,3.82202E-11,4.85378E-10,1.4905E-08,6.12465E-07,0.00124943,0.155741,0.129127,0.0205409,0.00478933,0.00144372,0.000679434,0.000344807,6.68276E-05,9.11404E-06,2.64546E-07,2.30173E-09,1.47745E-12,1.80323E-13,6.65522E-15,4.9857E-16,4.95739E-17,6.09937E-18,0,0,0,0,0,0,0
47,0.4,0.419208,0.314442,0.3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13514E-18,7.06923E-19,0,9.3995E-18,5.65515E-17,3.19001E-16,1.78271E-15,8.09126E-15,1.53036E-13,8.80064E-12,7.51715E-10,5.4467E-06,0.00308806,0.165879,0.0900568,0.0273197,0.0119467,0.007726,0.00587182,0.00198991,0.000520033,3.72185E-05,9.12188E-07,4.36654E-09,1.2043E-10,5.94628E-12,0,9.01095E-13,2.9759E-14,2.29929E-15,3.07224E-16,3.76914E-17,4.26515E-18,0,0,0
48,0.35,0.449649,0.3147,0.439438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41599E-19,2.57219E-18,5.29407E-18,8.84125E-17,1.00815E-14,1.80068E-12,6.3028E-08,8.89858E-05,0.0163155,0.148554,0.0717177,0.0270885,0.0201031,0.0187963,0.00850218,0.00315309,0.000364723,1.55457E-05,1.41634E-07,5.61062E-09,4.24446E-10,5.60776E-11,7.4807E-12,4.66209E-13,2.40603E-13,5.63861E-13,6.61961E-15,6.00703E-16,3.83505E-17,0,0
49,0.32,0.478312,0.314846,0.529838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06632E-18,1.14977E-16,3.28248E-14,2.95011E-09,8.67191E-06,0.00206858,0.0299773,0.123825,0.0617107,0.0343779,0.0342602,0.0185325,0.00863509,0.00136541,8.34591E-05,1.14972E-06,5.80739E-08,5.23506E-09,7.95833E-10,1.2274E-10,1.38865E-11,1.44288E-12,2.87662E-13,1.13642E-13,0,1.20184E-15,3.83972E-17,3.06691E-19
50,0.3,0.498178,0.314924,0.590128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23229E-17,1.9923E-15,3.33953E-10,1.61854E-06,0.000560076,0.00701017,0.038211,0.101115,0.0690672,0.0503945,0.0292465,0.0159331,0.00313299,0.000247131,4.55949E-06,2.7374E-07,2.79529E-08,4.68776E-09,7.96332E-10,9.90657E-11,1.1148E-11,1.99072E-12,2.24919E-13,8.54751E-14,2.02024E-13,4.98495E-16,5.60235E-18
51,0.28,0.509667,0.31498,0.622656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36709E-18,1.68886E-16,5.09008E-11,3.68864E-07,0.0001754,0.00251931,0.0103078,0.0334486,0.104098,0.0901152,0.0417034,0.0258138,0.0061669,0.000614887,1.48934E-05,1.05367E-06,1.21265E-07,2.23627E-08,4.1734E-09,5.73743E-10,7.10202E-11,1.42951E-11,2.32797E-12,1.6571E-13,8.2581E-14,1.8187E-14,5.9857E-17
52,0.25,0.511199,0.315065,0.622583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96035E-18,4.21235E-12,4.9454E-08,3.52172E-05,0.000622296,0.00271378,0.00644728,0.0238089,0.135939,0.0832683,0.0459488,0.0142327,0.00197044,7.02364E-05,6.30559E-06,8.64806E-07,1.83561E-07,3.94106E-08,6.28768E-09,8.92826E-10,2.02116E-10,3.69213E-11,5.04129E-12,4.50278E-13,4.52756E-15,1.3006E-14
53,0.22,0.502945,0.315208,0.594765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58031E-18,1.43403E-13,3.299E-09,4.10788E-06,9.68849E-05,0.000505265,0.00128784,0.00379211,0.0286631,0.142271,0.0993786,0.0324073,0.00640683,0.000345945,4.02111E-05,6.67155E-06,1.65064E-06,4.12953E-07,7.74547E-08,1.27623E-08,3.27799E-09,6.86973E-10,1.09668E-10,1.18511E-11,6.87258E-13,0
54,0.18,0.498682,0.315457,0.585174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97866E-15,9.61134E-11,2.2933E-07,7.67553E-06,5.02921E-05,0.000149877,0.000501425,0.0033785,0.0212321,0.17134,0.092459,0.0236912,0.00217951,0.000357584,7.68051E-05,2.34652E-05,7.25988E-06,1.70561E-06,3.45696E-07,1.06047E-07,2.70025E-08,5.35528E-09,7.41529E-10,5.7565E-11,1.38522E-12
55,0.14,0.511471,0.315801,0.634231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19959E-13,4.23572E-09,2.29125E-07,2.05227E-06,7.60553E-06,3.09143E-05,0.000270068,0.0017866,0.0238649,0.184289,0.0895867,0.0118988,0.00280069,0.000791794,0.000303845,0.000118507,3.55873E-05,9.03399E-06,3.36902E-06,1.06323E-06,2.68014E-07,4.88377E-08,5.25771E-09,1.93251E-10
56,0.1,0.545659,0.316263,0.755007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73183E-15,2.86942E-11,2.69938E-09,3.46726E-08,1.65821E-07,8.51981E-07,1.03346E-05,0.000097627,0.00168993,0.0247683,0.201014,0.0604104,0.0166001,0.00620523,0.00302784,0.00151409,0.000592638,0.000191941,0.000088752,0.000035528,1.17002E-05,2.90108E-06,4.51881E-07,2.6697E-08
