E	sigma_t	sigma_s
5.77914700E+00	1.08985400E+01	6.27567400E+00
5.83109000E+00	1.12862800E+01	6.11023900E+00
5.87978700E+00	1.17345800E+01	5.93825700E+00
5.92848400E+00	1.22895000E+01	5.74711700E+00
5.97718100E+00	1.29836800E+01	5.53350800E+00
6.02587700E+00	1.38585500E+01	5.29386800E+00
6.07457400E+00	1.49821200E+01	5.02280100E+00
6.09892300E+00	1.56706100E+01	4.87298700E+00
6.12327100E+00	1.64648700E+01	4.71241800E+00
6.14762000E+00	1.73854300E+01	4.54007800E+00
6.17196800E+00	1.84586700E+01	4.35478200E+00
6.19631600E+00	1.97187700E+01	4.15514700E+00
6.22066400E+00	2.12099800E+01	3.93962700E+00
6.24663600E+00	2.31210700E+01	3.69031300E+00
6.27260800E+00	2.54555400E+01	3.41879700E+00
6.29858000E+00	2.83418700E+01	3.12285800E+00
6.32455100E+00	3.19608300E+01	2.80047700E+00
6.35052300E+00	3.65818400E+01	2.45012800E+00
6.36350900E+00	3.93899600E+01	2.26435100E+00
6.37649400E+00	4.26192600E+01	2.07181100E+00
6.38948000E+00	4.63589700E+01	1.87310800E+00
6.40246600E+00	5.07214900E+01	1.66942600E+00
6.41545200E+00	5.58524700E+01	1.46274600E+00
6.42843700E+00	6.19438400E+01	1.25631100E+00
6.43817700E+00	6.72968600E+01	1.10463700E+00
6.44791600E+00	7.34794700E+01	9.59256000E-01
6.45765500E+00	8.06811100E+01	8.24917200E-01
6.46739400E+00	8.91526100E+01	7.08620300E-01
6.47267000E+00	9.43882500E+01	6.56679800E-01
6.47794500E+00	1.00162700E+02	6.15327600E-01
6.48322100E+00	1.06562500E+02	5.87485400E-01
6.48849600E+00	1.13688700E+02	5.76969600E-01
6.49113400E+00	1.17564400E+02	5.79707300E-01
6.49377200E+00	1.21672700E+02	5.88758800E-01
6.49641000E+00	1.26034900E+02	6.05004100E-01
6.49904700E+00	1.30673400E+02	6.29449400E-01
6.50168500E+00	1.35618900E+02	6.63291000E-01
6.50432300E+00	1.40900700E+02	7.07891000E-01
6.50696100E+00	1.46553900E+02	7.64840400E-01
6.50959800E+00	1.52616400E+02	8.35965100E-01
6.51183000E+00	1.58102800E+02	9.08848800E-01
6.51406200E+00	1.63947900E+02	9.94949300E-01
6.51629400E+00	1.70186700E+02	1.09598500E+00
6.51852600E+00	1.76858800E+02	1.21391100E+00
6.52157000E+00	1.86736900E+02	1.40603800E+00
6.52461300E+00	1.97628100E+02	1.64026500E+00
6.52765700E+00	2.09689500E+02	1.92458200E+00
6.53070000E+00	2.23087700E+02	2.26810000E+00
6.53293200E+00	2.33884000E+02	2.56405500E+00
6.53516400E+00	2.45601400E+02	2.90278400E+00
6.53739600E+00	2.58341400E+02	3.28991700E+00
6.53962800E+00	2.72216700E+02	3.73178000E+00
6.54186000E+00	2.87352200E+02	4.23545800E+00
6.54409200E+00	3.03886300E+02	4.80886300E+00
6.54632400E+00	3.21971100E+02	5.46080900E+00
6.54855600E+00	3.41774000E+02	6.20107400E+00
6.55058500E+00	3.61420700E+02	6.95972800E+00
6.55261400E+00	3.82788200E+02	7.80920200E+00
6.55464300E+00	4.06038200E+02	8.75919800E+00
6.55667200E+00	4.31344300E+02	9.82023800E+00
6.55870100E+00	4.58892900E+02	1.10037000E+01
6.56073000E+00	4.88882800E+02	1.23218200E+01
6.56275900E+00	5.21525200E+02	1.37877400E+01
6.56478800E+00	5.57043900E+02	1.54154700E+01
6.56681700E+00	5.95674400E+02	1.72199400E+01
6.56884600E+00	6.37663800E+02	1.92169000E+01
6.57087500E+00	6.83269400E+02	2.14229600E+01
6.57290400E+00	7.32758200E+02	2.38555200E+01
6.57696200E+00	8.44490400E+02	2.94731200E+01
6.58102000E+00	9.75121400E+02	3.62214100E+01
6.58325200E+00	1.05585800E+03	4.04722000E+01
6.58548400E+00	1.14338100E+03	4.51393300E+01
6.58994800E+00	1.34022400E+03	5.58274900E+01
6.59441200E+00	1.56831500E+03	6.84873400E+01
6.59887500E+00	1.82975900E+03	8.32939600E+01
6.60333900E+00	2.12609100E+03	1.00394500E+02
6.60780300E+00	2.45767700E+03	1.19871400E+02
6.61226700E+00	2.82368300E+03	1.41738500E+02
6.61673000E+00	3.22170700E+03	1.65915600E+02
6.62241200E+00	3.76845000E+03	1.99756200E+02
6.62809300E+00	4.34827500E+03	2.36422500E+02
